variant,cases
19A,1
19B,0
20A,11
20B,9
20C,2
20D,9
20E (EU1),4
20F,4
20G,0
20H (Beta, V2),0
20I (Alpha, V1),0
20J (Gamma, V3),0
21A (Delta),0
21B (Kappa),0
21C (Epsilon),0
21D (Eta),0
21F (Iota),0
21G (Lambda),0
21I (Delta),0
21J (Delta),0
21M (Omicron),0
