variant,cases
19A,0
19B,1
20A,6
20B,15
20C,1
20D,2
20E (EU1),3
20F,2
20G,4
20H (Beta, V2),0
20I (Alpha, V1),0
20J (Gamma, V3),0
21A (Delta),0
21B (Kappa),0
21C (Epsilon),0
21D (Eta),0
21F (Iota),0
21G (Lambda),0
21I (Delta),0
21J (Delta),0
21M (Omicron),0
