variant,cases
19A,0
19B,0
20A,2
20B,3
20C,0
20D,1
20E (EU1),0
20F,0
20G,1
20H (Beta, V2),3
20I (Alpha, V1),25
20J (Gamma, V3),6
21A (Delta),4
21B (Kappa),0
21C (Epsilon),0
21D (Eta),2
21F (Iota),1
21G (Lambda),1
21I (Delta),1
21J (Delta),2
21M (Omicron),0
