variant,cases
19A,0
19B,2
20A,13
20B,4
20C,7
20D,0
20E (EU1),2
20F,0
20G,8
20H (Beta, V2),0
20I (Alpha, V1),6
20J (Gamma, V3),1
21A (Delta),0
21B (Kappa),0
21C (Epsilon),1
21D (Eta),0
21F (Iota),0
21G (Lambda),0
21I (Delta),1
21J (Delta),0
21M (Omicron),0
