variant,cases
19A,1
19B,1
20A,8
20B,16
20C,6
20D,3
20E (EU1),1
20F,2
20G,1
20H (Beta, V2),0
20I (Alpha, V1),0
20J (Gamma, V3),0
21A (Delta),0
21B (Kappa),0
21C (Epsilon),0
21D (Eta),0
21F (Iota),0
21G (Lambda),0
21I (Delta),0
21J (Delta),0
21M (Omicron),0
