variant,cases
19A,0
19B,0
20A,3
20B,8
20C,0
20D,0
20E (EU1),1
20F,0
20G,3
20H (Beta, V2),3
20I (Alpha, V1),21
20J (Gamma, V3),4
21A (Delta),0
21B (Kappa),0
21C (Epsilon),3
21D (Eta),2
21F (Iota),0
21G (Lambda),5
21I (Delta),0
21J (Delta),0
21M (Omicron),0
