variant,cases
19A,4
19B,6
20A,15
20B,16
20C,24
20D,3
20E (EU1),0
20F,0
20G,0
20H (Beta, V2),0
20I (Alpha, V1),0
20J (Gamma, V3),0
21A (Delta),0
21B (Kappa),0
21C (Epsilon),0
21D (Eta),0
21F (Iota),0
21G (Lambda),0
21I (Delta),0
21J (Delta),0
21M (Omicron),0
