variant,cases
19A,0
19B,0
20A,1
20B,0
20C,0
20D,1
20E (EU1),0
20F,0
20G,0
20H (Beta, V2),0
20I (Alpha, V1),9
20J (Gamma, V3),3
21A (Delta),3
21B (Kappa),0
21C (Epsilon),0
21D (Eta),0
21F (Iota),0
21G (Lambda),0
21I (Delta),3
21J (Delta),14
21M (Omicron),0
