variant,cases
19A,0
19B,2
20A,10
20B,10
20C,1
20D,2
20E (EU1),2
20F,0
20G,7
20H (Beta, V2),2
20I (Alpha, V1),11
20J (Gamma, V3),4
21A (Delta),1
21B (Kappa),0
21C (Epsilon),1
21D (Eta),0
21F (Iota),0
21G (Lambda),4
21I (Delta),0
21J (Delta),1
21M (Omicron),0
