variant,cases
19A,1
19B,0
20A,4
20B,0
20C,0
20D,0
20E (EU1),0
20F,0
20G,0
20H (Beta, V2),1
20I (Alpha, V1),1
20J (Gamma, V3),0
21A (Delta),52
21B (Kappa),0
21C (Epsilon),0
21D (Eta),0
21F (Iota),0
21G (Lambda),0
21I (Delta),68
21J (Delta),725
21M (Omicron),0
