variant,cases
19A,0
19B,0
20A,7
20B,10
20C,1
20D,2
20E (EU1),3
20F,0
20G,2
20H (Beta, V2),4
20I (Alpha, V1),17
20J (Gamma, V3),3
21A (Delta),2
21B (Kappa),0
21C (Epsilon),7
21D (Eta),0
21F (Iota),0
21G (Lambda),5
21I (Delta),0
21J (Delta),0
21M (Omicron),0
