variant,cases
19A,0
19B,1
20A,1
20B,2
20C,1
20D,0
20E (EU1),0
20F,0
20G,1
20H (Beta, V2),6
20I (Alpha, V1),19
20J (Gamma, V3),9
21A (Delta),1
21B (Kappa),1
21C (Epsilon),0
21D (Eta),2
21F (Iota),2
21G (Lambda),0
21I (Delta),0
21J (Delta),0
21M (Omicron),0
